"Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4"
0.000000,-0.012,-0.066,-3.573,0.525,0.000000,-0.862,-1.468,-0.530,0.525,0.000000,-0.867,-1.795,-0.227,0.525,0.000000,-1.687,-2.518,0.828,0.525,0.000000,-0.598,-1.629,-0.647,0.520,0.000000,-1.306,-2.298,-0.432,0.525,0.000000,-0.628,-0.540,-1.145,0.525,0.000000,1.770,3.338,0.730,0.525,0.000000,-0.842,-2.210,-2.571,0.525,0.000000,-1.238,-1.297,0.237,0.525,0.000000,-0.706,-0.051,-0.452,0.525,0.000000,-1.018,-1.770,0.183,0.525,0.000000,-0.164,-1.067,2.059,0.525,0.000000,-1.575,-0.559,1.673,0.525,0.000000,-0.774,0.427,0.007,0.520,0.000000,-0.681,-0.408,-0.818,0.520,0.000000,-1.883,-0.383,2.679,0.525,0.000000,-1.126,-0.847,0.125,0.525,0.000000,-0.193,-0.857,-0.046,0.525,0.000000,0.589,0.564,1.087,0.525,0.000000,-0.530,-1.258,-1.233,0.525,0.000000,0.637,-2.684,1.228,0.520,0.000000,-0.515,-1.165,-2.713,0.525,0.000000,0.984,-4.730,2.405,0.525,0.000000,-1.263,-0.779,0.628,0.525,0.000000,1.194,1.087,1.302,0.525,0.000000,0.222,-1.814,1.375,0.525,0.000000,0.081,0.691,-1.902,0.525,0.000000,2.264,3.875,1.980,0.525,0.000000,0.911,-0.554,1.717,0.520
0.003300,-0.012,-0.071,-3.651,0.530,0.003300,-0.886,-1.482,-0.515,0.520,0.003300,-0.896,-1.790,-0.183,0.525,0.003300,-1.717,-2.391,1.028,0.530,0.003300,-0.632,-1.648,-0.652,0.525,0.003300,-1.341,-2.313,-0.305,0.525,0.003300,-0.628,-0.579,-1.194,0.520,0.003300,1.824,3.201,1.057,0.525,0.003300,-0.891,-2.347,-2.508,0.520,0.003300,-1.243,-1.258,0.266,0.525,0.003300,-0.686,-0.071,-0.530,0.520,0.003300,-1.043,-1.736,0.227,0.525,0.003300,-0.193,-1.043,1.995,0.525,0.003300,-1.536,-0.379,1.643,0.525,0.003300,-0.730,0.437,-0.090,0.520,0.003300,-0.672,-0.437,-0.872,0.525,0.003300,-1.824,-0.051,2.625,0.520,0.003300,-1.111,-0.823,0.110,0.520,0.003300,-0.217,-0.847,-0.110,0.525,0.003300,0.584,0.510,1.038,0.520,0.003300,-0.554,-1.292,-1.263,0.520,0.003300,0.510,-2.733,1.082,0.520,0.003300,-0.540,-1.248,-2.752,0.525,0.003300,0.784,-4.872,2.181,0.525,0.003300,-1.243,-0.711,0.613,0.525,0.003300,1.194,0.960,1.321,0.525,0.003300,0.149,-1.839,1.287,0.520,0.003300,0.100,0.711,-1.971,0.520,0.003300,2.317,3.514,2.449,0.525,0.003300,0.862,-0.667,1.609,0.525
0.006600,-0.017,-0.081,-3.734,0.525,0.006600,-0.901,-1.507,-0.501,0.525,0.006600,-0.926,-1.790,-0.149,0.525,0.006600,-1.736,-2.239,1.214,0.525,0.006600,-0.667,-1.668,-0.652,0.525,0.006600,-1.375,-2.322,-0.168,0.520,0.006600,-0.623,-0.628,-1.258,0.525,0.006600,1.868,3.016,1.389,0.520,0.006600,-0.945,-2.493,-2.435,0.520,0.006600,-1.238,-1.219,0.291,0.530,0.006600,-0.662,-0.081,-0.608,0.525,0.006600,-1.067,-1.702,0.276,0.525,0.006600,-0.222,-1.009,1.937,0.525,0.006600,-1.487,-0.193,1.585,0.525,0.006600,-0.686,0.437,-0.193,0.525,0.006600,-0.662,-0.471,-0.940,0.530,0.006600,-1.751,0.256,2.532,0.520,0.006600,-1.101,-0.803,0.090,0.525,0.006600,-0.242,-0.847,-0.173,0.525,0.006600,0.579,0.462,0.984,0.525,0.006600,-0.579,-1.341,-1.292,0.525,0.006600,0.398,-2.767,0.960,0.520,0.006600,-0.564,-1.350,-2.777,0.525,0.006600,0.579,-4.979,2.015,0.530,0.006600,-1.223,-0.647,0.589,0.525,0.006600,1.179,0.833,1.346,0.525,0.006600,0.076,-1.844,1.209,0.525,0.006600,0.125,0.725,-2.039,0.525,0.006600,2.352,3.084,2.879,0.525,0.006600,0.803,-0.769,1.502,0.525
0.009900,-0.022,-0.081,-3.807,0.520,0.009900,-0.921,-1.521,-0.481,0.525,0.009900,-0.960,-1.785,-0.110,0.525,0.009900,-1.751,-2.073,1.385,0.530,0.009900,-0.701,-1.687,-0.652,0.525,0.009900,-1.404,-2.317,-0.027,0.525,0.009900,-0.623,-0.676,-1.306,0.520,0.009900,1.907,2.801,1.702,0.520,0.009900,-1.004,-2.635,-2.327,0.520,0.009900,-1.243,-1.179,0.315,0.530,0.009900,-0.642,-0.105,-0.691,0.525,0.009900,-1.092,-1.668,0.325,0.525,0.009900,-0.252,-0.979,1.873,0.525,0.009900,-1.438,-0.032,1.521,0.525,0.009900,-0.642,0.437,-0.300,0.525,0.009900,-0.657,-0.505,-0.994,0.525,0.009900,-1.683,0.545,2.405,0.525,0.009900,-1.092,-0.784,0.071,0.525,0.009900,-0.261,-0.842,-0.237,0.530,0.009900,0.574,0.418,0.935,0.520,0.009900,-0.613,-1.389,-1.306,0.525,0.009900,0.281,-2.791,0.852,0.530,0.009900,-0.598,-1.448,-2.796,0.525,0.009900,0.374,-5.038,1.888,0.525,0.009900,-1.204,-0.584,0.559,0.530,0.009900,1.165,0.711,1.350,0.525,0.009900,0.012,-1.849,1.136,0.525,0.009900,0.149,0.745,-2.103,0.520,0.009900,2.366,2.596,3.255,0.525,0.009900,0.740,-0.852,1.389,0.525
0.013200,-0.027,-0.090,-3.885,0.525,0.013200,-0.945,-1.536,-0.462,0.525,0.013200,-0.989,-1.785,-0.066,0.525,0.013200,-1.766,-1.883,1.541,0.525,0.013200,-0.740,-1.712,-0.637,0.530,0.013200,-1.438,-2.298,0.115,0.525,0.013200,-0.632,-0.720,-1.355,0.520,0.013200,1.937,2.537,1.990,0.525,0.013200,-1.062,-2.781,-2.205,0.520,0.013200,-1.238,-1.136,0.330,0.520,0.013200,-0.618,-0.129,-0.764,0.525,0.013200,-1.106,-1.629,0.374,0.525,0.013200,-0.281,-0.935,1.814,0.525,0.013200,-1.385,0.125,1.433,0.520,0.013200,-0.608,0.432,-0.398,0.525,0.013200,-0.657,-0.545,-1.053,0.530,0.013200,-1.595,0.799,2.254,0.520,0.013200,-1.077,-0.764,0.042,0.525,0.013200,-0.286,-0.842,-0.300,0.530,0.013200,0.569,0.379,0.877,0.520,0.013200,-0.637,-1.433,-1.321,0.525,0.013200,0.168,-2.801,0.764,0.525,0.013200,-0.628,-1.556,-2.811,0.520,0.013200,0.178,-5.077,1.824,0.530,0.013200,-1.179,-0.525,0.520,0.525,0.013200,1.145,0.589,1.341,0.525,0.013200,-0.056,-1.844,1.077,0.525,0.013200,0.168,0.769,-2.166,0.520,0.013200,2.366,2.073,3.568,0.525,0.013200,0.681,-0.926,1.282,0.530
0.016500,-0.027,-0.095,-3.963,0.525,0.016500,-0.965,-1.556,-0.437,0.525,0.016500,-1.018,-1.770,-0.017,0.530,0.016500,-1.761,-1.678,1.663,0.525,0.016500,-0.774,-1.736,-0.618,0.525,0.016500,-1.473,-2.264,0.261,0.525,0.016500,-0.632,-0.774,-1.404,0.520,0.016500,1.956,2.234,2.244,0.520,0.016500,-1.131,-2.928,-2.068,0.525,0.016500,-1.233,-1.092,0.344,0.520,0.016500,-0.603,-0.149,-0.842,0.525,0.016500,-1.126,-1.585,0.422,0.520,0.016500,-0.300,-0.896,1.756,0.525,0.016500,-1.326,0.266,1.331,0.520,0.016500,-0.564,0.422,-0.496,0.520,0.016500,-0.652,-0.584,-1.111,0.525,0.016500,-1.502,1.038,2.083,0.525,0.016500,-1.067,-0.755,0.022,0.525,0.016500,-0.305,-0.847,-0.364,0.525,0.016500,0.559,0.339,0.823,0.520,0.016500,-0.667,-1.487,-1.331,0.525,0.016500,0.066,-2.806,0.701,0.525,0.016500,-0.662,-1.673,-2.816,0.525,0.016500,-0.012,-5.082,1.805,0.525,0.016500,-1.155,-0.476,0.476,0.525,0.016500,1.121,0.466,1.321,0.525,0.016500,-0.120,-1.839,1.018,0.530,0.016500,0.198,0.794,-2.225,0.520,0.016500,2.347,1.512,3.802,0.525,0.016500,0.623,-0.989,1.175,0.525
0.019800,-0.027,-0.095,-4.037,0.525,0.019800,-0.994,-1.575,-0.408,0.520,0.019800,-1.043,-1.756,0.027,0.530,0.019800,-1.756,-1.463,1.770,0.530,0.019800,-0.808,-1.756,-0.598,0.525,0.019800,-1.502,-2.215,0.403,0.525,0.019800,-0.642,-0.828,-1.453,0.520,0.019800,1.956,1.902,2.474,0.525,0.019800,-1.199,-3.074,-1.907,0.525,0.019800,-1.223,-1.048,0.349,0.520,0.019800,-0.589,-0.183,-0.916,0.525,0.019800,-1.140,-1.536,0.462,0.525,0.019800,-0.320,-0.857,1.697,0.520,0.019800,-1.267,0.393,1.219,0.520,0.019800,-0.535,0.413,-0.593,0.530,0.019800,-0.652,-0.632,-1.160,0.525,0.019800,-1.404,1.238,1.897,0.525,0.019800,-1.057,-0.740,-0.007,0.525,0.019800,-0.325,-0.847,-0.418,0.525,0.019800,0.549,0.300,0.764,0.525,0.019800,-0.701,-1.541,-1.336,0.530,0.019800,-0.037,-2.806,0.647,0.525,0.019800,-0.706,-1.795,-2.801,0.525,0.019800,-0.193,-5.067,1.829,0.525,0.019800,-1.136,-0.427,0.432,0.525,0.019800,1.096,0.349,1.292,0.525,0.019800,-0.178,-1.819,0.969,0.525,0.019800,0.212,0.828,-2.293,0.520,0.019800,2.308,0.950,3.944,0.520,0.019800,0.564,-1.043,1.057,0.530
0.023100,-0.032,-0.110,-4.120,0.525,0.023100,-1.009,-1.590,-0.379,0.520,0.023100,-1.072,-1.741,0.076,0.520,0.023100,-1.741,-1.228,1.844,0.525,0.023100,-0.842,-1.780,-0.569,0.525,0.023100,-1.526,-2.147,0.545,0.525,0.023100,-0.647,-0.886,-1.492,0.520,0.023100,1.946,1.551,2.659,0.520,0.023100,-1.267,-3.211,-1.717,0.520,0.023100,-1.219,-1.009,0.359,0.520,0.023100,-0.574,-0.208,-0.994,0.525,0.023100,-1.150,-1.482,0.501,0.515,0.023100,-0.339,-0.813,1.639,0.520,0.023100,-1.204,0.505,1.096,0.520,0.023100,-0.496,0.393,-0.686,0.525,0.023100,-0.652,-0.672,-1.214,0.525,0.023100,-1.311,1.409,1.707,0.530,0.023100,-1.043,-0.730,-0.037,0.525,0.023100,-0.339,-0.857,-0.481,0.530,0.023100,0.540,0.271,0.701,0.525,0.023100,-0.730,-1.600,-1.331,0.525,0.023100,-0.139,-2.801,0.613,0.525,0.023100,-0.750,-1.917,-2.781,0.525,0.023100,-0.369,-5.023,1.902,0.525,0.023100,-1.106,-0.383,0.379,0.520,0.023100,1.067,0.242,1.248,0.525,0.023100,-0.242,-1.805,0.930,0.520,0.023100,0.237,0.862,-2.342,0.520,0.023100,2.249,0.383,4.007,0.525,0.023100,0.505,-1.082,0.950,0.530
0.026400,-0.037,-0.120,-4.198,0.525,0.026400,-1.028,-1.600,-0.344,0.520,0.026400,-1.096,-1.717,0.129,0.525,0.026400,-1.717,-0.999,1.897,0.525,0.026400,-0.882,-1.805,-0.545,0.525,0.026400,-1.551,-2.063,0.691,0.525,0.026400,-0.657,-0.950,-1.531,0.525,0.026400,1.932,1.184,2.786,0.525,0.026400,-1.341,-3.338,-1.507,0.525,0.026400,-1.209,-0.960,0.354,0.520,0.026400,-0.564,-0.247,-1.067,0.525,0.026400,-1.160,-1.429,0.535,0.525,0.026400,-0.354,-0.769,1.575,0.520,0.026400,-1.140,0.603,0.974,0.525,0.026400,-0.466,0.383,-0.784,0.520,0.026400,-0.657,-0.720,-1.267,0.525,0.026400,-1.204,1.556,1.512,0.525,0.026400,-1.038,-0.720,-0.066,0.520,0.026400,-0.359,-0.852,-0.535,0.525,0.026400,0.535,0.242,0.642,0.525,0.026400,-0.764,-1.663,-1.326,0.525,0.026400,-0.227,-2.781,0.593,0.525,0.026400,-0.794,-2.054,-2.752,0.525,0.026400,-0.535,-4.960,2.010,0.525,0.026400,-1.077,-0.344,0.325,0.520,0.026400,1.033,0.139,1.199,0.525,0.026400,-0.300,-1.775,0.891,0.525,0.026400,0.261,0.906,-2.405,0.520,0.026400,2.166,-0.173,3.983,0.520,0.026400,0.447,-1.121,0.847,0.525
0.029700,-0.042,-0.129,-4.271,0.525,0.029700,-1.048,-1.609,-0.310,0.525,0.029700,-1.111,-1.687,0.183,0.520,0.029700,-1.692,-0.769,1.917,0.525,0.029700,-0.911,-1.824,-0.501,0.525,0.029700,-1.565,-1.966,0.823,0.525,0.029700,-0.672,-1.009,-1.570,0.520,0.029700,1.897,0.813,2.869,0.520,0.029700,-1.414,-3.460,-1.277,0.525,0.029700,-1.199,-0.911,0.354,0.520,0.029700,-0.554,-0.286,-1.140,0.525,0.029700,-1.170,-1.370,0.569,0.525,0.029700,-0.369,-0.730,1.516,0.520,0.029700,-1.077,0.681,0.847,0.520,0.029700,-0.437,0.359,-0.872,0.525,0.029700,-0.657,-0.774,-1.311,0.525,0.029700,-1.101,1.683,1.321,0.525,0.029700,-1.023,-0.720,-0.095,0.525,0.029700,-0.379,-0.862,-0.598,0.525,0.029700,0.520,0.212,0.574,0.525,0.029700,-0.799,-1.722,-1.311,0.525,0.029700,-0.320,-2.762,0.589,0.525,0.029700,-0.842,-2.190,-2.703,0.525,0.029700,-0.691,-4.862,2.161,0.520,0.029700,-1.053,-0.310,0.261,0.520,0.029700,0.999,0.046,1.145,0.530,0.029700,-0.349,-1.751,0.862,0.525,0.029700,0.281,0.950,-2.454,0.520,0.029700,2.078,-0.696,3.875,0.525,0.029700,0.388,-1.145,0.745,0.520
