"Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4"
0.000000,1.733,0.181,2.335,1.524,0.000000,-0.089,1.251,-1.646,1.519,0.000000,1.001,-0.820,0.782,1.519,0.000000,-1.026,-2.735,-2.134,1.514,0.000000,-1.637,-3.511,-0.371,1.524,0.000000,-0.513,-1.592,-2.813,1.519,0.000000,1.128,3.146,0.284,1.524,0.000000,-0.264,-0.996,-3.116,1.519,0.000000,-1.481,1.949,1.788,1.519,0.000000,0.004,2.662,-0.605,1.519,0.000000,-0.323,-1.338,-1.802,1.524,0.000000,0.747,2.286,-2.676,1.519
0.003300,1.675,-0.097,2.247,1.519,0.003300,-0.045,1.231,-1.758,1.519,0.003300,0.937,-0.874,0.621,1.519,0.003300,-1.090,-2.876,-2.041,1.519,0.003300,-1.700,-3.526,-0.107,1.519,0.003300,-0.553,-1.690,-2.862,1.519,0.003300,1.201,3.111,0.440,1.519,0.003300,-0.294,-1.055,-3.213,1.519,0.003300,-1.358,2.120,1.505,1.519,0.003300,0.097,2.672,-0.683,1.514,0.003300,-0.367,-1.377,-1.880,1.519,0.003300,0.800,2.418,-2.642,1.519
0.006600,1.601,-0.351,2.135,1.519,0.006600,0.004,1.236,-1.870,1.519,0.006600,0.869,-0.913,0.469,1.519,0.006600,-1.158,-3.018,-1.919,1.519,0.006600,-1.764,-3.502,0.166,1.524,0.006600,-0.597,-1.802,-2.901,1.519,0.006600,1.269,3.048,0.611,1.519,0.006600,-0.323,-1.118,-3.296,1.519,0.006600,-1.227,2.252,1.221,1.524,0.006600,0.185,2.682,-0.737,1.514,0.006600,-0.401,-1.416,-1.953,1.519,0.006600,0.869,2.555,-2.583,1.519
0.009900,1.523,-0.586,1.993,1.519,0.009900,0.048,1.236,-1.973,1.524,0.009900,0.800,-0.937,0.313,1.519,0.009900,-1.231,-3.160,-1.782,1.519,0.009900,-1.822,-3.453,0.450,1.519,0.009900,-0.645,-1.914,-2.925,1.519,0.009900,1.338,2.975,0.782,1.519,0.009900,-0.352,-1.191,-3.384,1.524,0.009900,-1.104,2.350,0.958,1.524,0.009900,0.273,2.691,-0.776,1.519,0.009900,-0.435,-1.470,-2.022,1.519,0.009900,0.927,2.696,-2.515,1.519
0.013200,1.445,-0.791,1.827,1.519,0.013200,0.092,1.251,-2.075,1.519,0.013200,0.742,-0.952,0.161,1.519,0.013200,-1.300,-3.301,-1.616,1.519,0.013200,-1.886,-3.365,0.733,1.524,0.013200,-0.689,-2.041,-2.940,1.519,0.013200,1.391,2.877,0.962,1.514,0.013200,-0.382,-1.274,-3.467,1.519,0.013200,-0.977,2.423,0.709,1.519,0.013200,0.366,2.716,-0.801,1.519,0.013200,-0.474,-1.533,-2.080,1.519,0.013200,0.996,2.848,-2.417,1.519
0.016500,1.362,-0.967,1.651,1.519,0.016500,0.131,1.265,-2.168,1.519,0.016500,0.688,-0.962,0.015,1.519,0.016500,-1.373,-3.428,-1.426,1.519,0.016500,-1.935,-3.233,1.021,1.519,0.016500,-0.748,-2.173,-2.940,1.519,0.016500,1.440,2.760,1.143,1.524,0.016500,-0.416,-1.362,-3.536,1.519,0.016500,-0.855,2.472,0.479,1.519,0.016500,0.449,2.735,-0.815,1.524,0.016500,-0.513,-1.592,-2.134,1.514,0.016500,1.064,3.004,-2.300,1.514
0.019800,1.279,-1.118,1.470,1.519,0.019800,0.170,1.280,-2.261,1.519,0.019800,0.625,-0.957,-0.132,1.519,0.019800,-1.456,-3.550,-1.211,1.519,0.019800,-1.979,-3.057,1.295,1.529,0.019800,-0.802,-2.320,-2.925,1.519,0.019800,1.484,2.623,1.314,1.524,0.019800,-0.455,-1.460,-3.604,1.524,0.019800,-0.733,2.501,0.264,1.519,0.019800,0.532,2.760,-0.801,1.519,0.019800,-0.553,-1.670,-2.183,1.519,0.019800,1.137,3.155,-2.154,1.519
0.023100,1.186,-1.245,1.275,1.519,0.023100,0.209,1.314,-2.349,1.519,0.023100,0.571,-0.952,-0.278,1.519,0.023100,-1.529,-3.648,-0.972,1.524,0.023100,-2.013,-2.852,1.558,1.519,0.023100,-0.855,-2.466,-2.886,1.519,0.023100,1.523,2.457,1.485,1.524,0.023100,-0.489,-1.567,-3.658,1.519,0.023100,-0.616,2.520,0.074,1.519,0.023100,0.610,2.794,-0.776,1.519,0.023100,-0.597,-1.753,-2.227,1.519,0.023100,1.211,3.312,-1.987,1.519
0.026400,1.098,-1.348,1.085,1.519,0.026400,0.248,1.343,-2.427,1.519,0.026400,0.512,-0.942,-0.420,1.519,0.026400,-1.607,-3.721,-0.718,1.519,0.026400,-2.037,-2.608,1.798,1.519,0.026400,-0.914,-2.632,-2.837,1.519,0.026400,1.548,2.276,1.641,1.524,0.026400,-0.533,-1.685,-3.712,1.524,0.026400,-0.504,2.530,-0.107,1.519,0.026400,0.688,2.818,-0.737,1.519,0.026400,-0.636,-1.836,-2.261,1.514,0.026400,1.289,3.463,-1.792,1.524
0.029700,1.010,-1.426,0.889,1.519,0.029700,0.292,1.392,-2.500,1.524,0.029700,0.463,-0.923,-0.556,1.519,0.029700,-1.691,-3.775,-0.434,1.519,0.029700,-2.057,-2.329,2.008,1.519,0.029700,-0.987,-2.803,-2.764,1.524,0.029700,1.572,2.081,1.783,1.524,0.029700,-0.577,-1.812,-3.751,1.524,0.029700,-0.391,2.525,-0.263,1.519,0.029700,0.771,2.853,-0.683,1.524,0.029700,-0.684,-1.939,-2.281,1.519,0.029700,1.367,3.605,-1.567,1.524
